name,slug
SEO Content,seo-content
SEO Keywords,seo-keywords
Social Media Posts,social-media-posts
Email Writing,email-writing
Email Outreach,email-outreach
Product Descriptions,product-descriptions
Blog Writing,blog-writing
Copywriting,copywriting
Content Optimization,content-optimization
Lead Generation,lead-generation
Customer Support,customer-support
Customer Engagement,customer-engagement
Sales Outreach,sales-outreach
Recruiting,recruiting
Candidate Screening,candidate-screening
Interview Preparation,interview-preparation
Job Applications,job-applications
Summarization,summarization
Text Rewriting,text-rewriting
Grammar Checking,grammar-checking
Paraphrasing,paraphrasing
Document Chat,document-chat
Document Data Extraction,document-data-extraction
Resume Optimization,resume-optimization
Academic Writing,academic-writing
Research Assistance,research-assistance
Coding,coding
Code Reviews,code-reviews
Debugging,debugging
Code Documentation,code-documentation
Code Optimization,code-optimization
Web Scraping,web-scraping
API Integrations,api-integrations
Chatbots,chatbots
Agents,agents
Task Automation,task-automation
Data Analysis,data-analysis
Data Visualization,data-visualization
Market Research,market-research
Competitive Analysis,competitive-analysis
Image Editing,image-editing
Logo Design,logo-design
Video Editing,video-editing
Video Captions,video-captions
Transcription,transcription
Text to Speech,text-to-speech
Image Upscaling,image-upscaling
Background Removal,background-removal
Presentation Creation,presentation-creation
Website Building,website-building
